Frame,Rz,Ry,Rx,Tx,Ty,Tz,Tz
2216782,8.4806337,6.9642887,101.2478644,-1.121,-42.037,-95.671,-3.70E+28
2216790,8.4078528,6.9045433,101.2471093,-1.148,-42.011,-95.592,-3.70E+28
2216798,8.4045095,6.9059091,101.2135355,-1.099,-42.015,-95.537,-3.70E+28
2216806,8.4516111,6.9465495,101.1981886,-1.056,-42.039,-95.558,-3.70E+28
2216814,8.4656895,6.9554258,101.2201254,-1.083,-42.041,-95.613,-3.70E+28
2216822,8.4077107,6.9190786,101.127667,-1.086,-42.039,-95.424,-3.70E+28
2216830,8.3422481,6.8511558,101.242591,-1.171,-41.939,-95.404,-3.70E+28
2216838,8.4322826,6.9202105,101.2830611,-1.193,-41.954,-95.5,-3.70E+28
2216846,8.5357992,6.9594711,101.6522618,-1.13,-41.906,-95.988,-3.70E+28
2216854,8.5463789,6.918281,102.0556546,-1.101,-41.814,-96.37,-3.70E+28
2216862,8.6361141,6.9836265,102.1150526,-1.056,-41.825,-96.578,-3.70E+28
2216870,8.6786592,7.0177961,102.1172949,-1,-41.85,-96.602,-3.70E+28
2216878,8.6586223,7.002246,102.1118916,-1.038,-41.861,-96.561,-3.70E+28
2216886,8.5929336,6.9504778,102.1003873,-1.069,-41.846,-96.481,-3.70E+28
2216894,8.5844354,6.9459058,102.0816994,-1.037,-41.844,-96.444,-3.70E+28
2216902,8.6367037,6.9877203,102.0859796,-0.999,-41.859,-96.506,-3.70E+28
2216910,8.6591629,7.0036505,102.1041387,-1.024,-41.869,-96.564,-3.70E+28
2216918,8.6095934,6.9698839,102.0527171,-1.03,-41.858,-96.436,-3.70E+28
2216926,8.627278,6.9785444,102.0983705,-1.044,-41.849,-96.521,-3.70E+28
2216934,8.6089673,6.9670814,102.071216,-1.054,-41.83,-96.347,-3.70E+28
2216942,8.6174831,6.9737927,102.0727414,-1.086,-41.826,-96.322,-3.70E+28
2216950,8.5889878,6.946161,102.1094502,-1.125,-41.808,-96.353,-3.70E+28
2216958,8.6329085,6.9513688,102.3540662,-1.058,-41.76,-96.561,-3.70E+28
2216966,8.7667733,7.0011781,102.817583,-1.002,-41.666,-97.114,-3.70E+28
2216974,8.8741873,7.0291919,103.2765555,-1.07,-41.534,-97.835,-3.70E+28
2216982,8.9218601,7.0401504,103.4893473,-1.007,-41.51,-97.988,-3.70E+28
2216990,8.9302611,7.0406121,103.5383295,-0.965,-41.515,-98.043,-3.70E+28
2216998,8.9443651,7.0547554,103.5145231,-0.937,-41.536,-98.008,-3.70E+28
2217006,8.9457466,7.0565383,103.5090497,-0.93,-41.542,-98.002,-3.70E+28
2217014,8.9267259,7.0417847,103.5068827,-0.939,-41.54,-97.987,-3.70E+28
2217022,8.9185468,7.0352475,103.5074809,-0.942,-41.542,-97.996,-3.70E+28
2217030,8.9317902,7.0452584,103.5110632,-0.936,-41.541,-98.017,-3.70E+28
2217038,8.9384361,7.0499035,103.5158568,-0.939,-41.533,-98.032,-3.70E+28
2217046,8.9379731,7.052878,103.4893987,-0.952,-41.535,-97.992,-3.70E+28
2217054,8.8359743,6.9785228,103.4393289,-1.009,-41.483,-97.616,-3.70E+28
2217062,8.902018,7.0155799,103.5600653,-1.078,-41.478,-97.919,-3.70E+28
2217070,9.0205618,7.0450932,104.0649397,-0.976,-41.359,-98.543,-3.70E+28
2217078,9.1813734,7.0947339,104.6591438,-0.902,-41.21,-99.316,-3.70E+28
2217086,9.2966606,7.1685096,104.7788958,-0.839,-41.234,-99.441,-3.70E+28
2217094,9.2163634,7.1067295,104.7769827,-0.826,-41.224,-99.335,-3.70E+28
2217102,9.2025077,7.1001054,104.7450637,-0.839,-41.23,-99.268,-3.70E+28
2217110,9.2075977,7.1034992,104.7492882,-0.829,-41.231,-99.292,-3.70E+28
2217118,9.2347101,7.1230739,104.7600388,-0.832,-41.239,-99.342,-3.70E+28
2217126,9.2372858,7.1241166,104.7674268,-0.848,-41.236,-99.363,-3.70E+28
2217134,9.2186115,7.1118319,104.750687,-0.845,-41.239,-99.307,-3.70E+28
